Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
13.63,4,0.7252653759700878019057253865,0.752556104119943,0.752556104119943,0.728811748890356,0.728811748890356,0.314109432533257,0.3658399378607150372197093062,0.2743727226476814372197093062,0.0914672152130336,5.2402704588499333926404628783,24.522085061904591220845879165,24.522084904059527239855761392,395196400
13.64,0,0.7252439403942494619952277112,0.72524394039425,0.72524394039425,0.72524394039425,0.72524394039425,0,0.0000000,0.0000000,0,5.2384034880801459215831563586,24.088913771299901255738212859,24.517696630383990692174052439,395486400
13.64,2,0.7252439403942494619952277112,0.731102154162391,0.731102154162391,0.726128346472712,0.726128346472712,0.129756599348268,0.1551926523522331576032939746,0.1371350792362459576032939746,0.0180575731159872,5.2384034880801459215831563586,24.288453144297113651783112279,24.517696630383990692174052439,395486400
13.64,4,0.7252439403942494619952277112,0.752525524202218,0.752525524202218,0.728790208499718,0.728790208499718,0.313980913480277,0.3657095987264610152065879491,0.2742701584724919152065879491,0.0914394402539691,5.2384034880801459215831563586,24.517696788873854917509849018,24.517696630383990692174052439,395486400
13.65,0,0.7252225408408353636000797339,0.725222540840835,0.725222540840835,0.725222540840835,0.725222540840835,0,0.0000000,0.0000000,0,5.236539548677787520137217397,24.08302748803394063457106621,24.513304769446160313308511905,395776300
13.65,2,0.7252225408408353636000797339,0.731081184930444,0.731081184930444,0.726106920823395,0.726106920823395,0.129770043417779,0.1552053564163388620365051524,0.1370838766990173620365051524,0.0181214797173215,5.236539548677787520137217397,24.283943920658520288398734604,24.513304769446160313308511905,395776300
13.65,4,0.7252225408408353636000797339,0.7524949951574,0.7524949951574,0.728768704307644,0.728768704307644,0.313852603016119,0.3655794712216317240730103048,0.2741677533980347240730103048,0.091411717823597,5.236539548677787520137217397,24.513304928582155593291759011,24.513304769446160313308511905,395776300
13.66,0,0.7252011847090702413344320050,0.72520118470907,0.72520118470907,0.72520118470907,0.72520118470907,0,0.0000000,0.0000000,0,5.2346781100935480892126945711,24.077152260670982552065980844,24.508921412572012612358477319,396066200
13.66,2,0.7252011847090702413344320050,0.731060261277761,0.731060261277761,0.726085538648679,0.726085538648679,0.129783546998106,0.1552181215457011002698650204,0.1370327352270454002698650204,0.0181853863186557,5.2346781100935480892126945711,24.279448999626549355320756207,24.508921412572012612358477319,396066200
13.66,4,0.7252011847090702413344320050,0.752464521819054,0.752464521819054,0.728747243749541,0.728747243749541,0.31372446367301,0.3654495183068953005397300407,0.2740654704540908005397300407,0.0913840478528045,5.2346781100935480892126945711,24.508921572353987280412554493,24.508921412572012612358477319,396066200
